"design","N","M","per1","per2","per3","file"
"irregular",100,10,0.72,0.77,0,"result_parameter_set1_irregular_1_N_100_M_10.rds"
"irregular",100,20,0.99,1,1,"result_parameter_set1_irregular_1_N_100_M_20.rds"
"irregular",50,10,0.78,0.92,0,"result_parameter_set1_irregular_1_N_50_M_10.rds"
"irregular",50,20,0.26,0.92,1,"result_parameter_set1_irregular_1_N_50_M_20.rds"
"irregular",100,10,0.31,0.28,0.66,"result_parameter_set1_irregular_10_N_100_M_10.rds"
"irregular",100,20,0.89,1,1,"result_parameter_set1_irregular_10_N_100_M_20.rds"
"irregular",50,10,0.86,1,1,"result_parameter_set1_irregular_10_N_50_M_10.rds"
"irregular",50,20,0.69,1,0.07,"result_parameter_set1_irregular_10_N_50_M_20.rds"
"irregular",100,10,0.78,0.88,0,"result_parameter_set1_irregular_100_N_100_M_10.rds"
"irregular",100,20,0.36,0.58,1,"result_parameter_set1_irregular_100_N_100_M_20.rds"
"irregular",50,10,0.87,0.92,0,"result_parameter_set1_irregular_100_N_50_M_10.rds"
"irregular",50,20,0.65,0.84,0,"result_parameter_set1_irregular_100_N_50_M_20.rds"
"irregular",100,10,0.95,1,1,"result_parameter_set1_irregular_11_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_11_N_100_M_20.rds"
"irregular",50,10,0.75,0.84,0,"result_parameter_set1_irregular_11_N_50_M_10.rds"
"irregular",50,20,0.84,0.98,0,"result_parameter_set1_irregular_11_N_50_M_20.rds"
"irregular",100,10,0.86,1,1,"result_parameter_set1_irregular_12_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_12_N_100_M_20.rds"
"irregular",50,10,1,1,1,"result_parameter_set1_irregular_12_N_50_M_10.rds"
"irregular",50,20,0.97,0.99,1,"result_parameter_set1_irregular_12_N_50_M_20.rds"
"irregular",100,10,0.95,1,1,"result_parameter_set1_irregular_13_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_13_N_100_M_20.rds"
"irregular",50,10,0.48,0.97,0,"result_parameter_set1_irregular_13_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_13_N_50_M_20.rds"
"irregular",100,10,0.76,0.85,0,"result_parameter_set1_irregular_14_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_14_N_100_M_20.rds"
"irregular",50,10,0.57,0.88,1,"result_parameter_set1_irregular_14_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_14_N_50_M_20.rds"
"irregular",100,10,1,1,1,"result_parameter_set1_irregular_15_N_100_M_10.rds"
"irregular",100,20,0.75,0.86,0,"result_parameter_set1_irregular_15_N_100_M_20.rds"
"irregular",50,10,0.97,1,1,"result_parameter_set1_irregular_15_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_15_N_50_M_20.rds"
